OID_,Value,Count,CLASSNAMES,R,G,B,RED,GREEN,BLUE
126,228,8913.000000000000000,Shrub Cover = 28%,204,145,102,0.800000000000000,0.568627000000000,0.400000000000000
127,229,10197.000000000000000,Shrub Cover = 29%,204,142,100,0.800000000000000,0.556863000000000,0.392157000000000
128,230,12033.000000000000000,Shrub Cover = 30%,204,142,100,0.800000000000000,0.556863000000000,0.392157000000000
129,231,13363.000000000000000,Shrub Cover = 31%,201,137,97,0.788235000000000,0.537255000000000,0.380392000000000
130,232,14706.000000000000000,Shrub Cover = 32%,201,137,97,0.788235000000000,0.537255000000000,0.380392000000000
131,233,16399.000000000000000,Shrub Cover = 33%,201,134,95,0.788235000000000,0.525490000000000,0.372549000000000
132,234,17255.000000000000000,Shrub Cover = 34%,201,134,95,0.788235000000000,0.525490000000000,0.372549000000000
133,235,18108.000000000000000,Shrub Cover = 35%,201,132,95,0.788235000000000,0.517647000000000,0.372549000000000
134,236,17159.000000000000000,Shrub Cover = 36%,199,129,91,0.780392000000000,0.505882000000000,0.356863000000000
135,237,16929.000000000000000,Shrub Cover = 37%,199,127,91,0.780392000000000,0.498039000000000,0.356863000000000
136,238,15419.000000000000000,Shrub Cover = 38%,199,126,90,0.780392000000000,0.494118000000000,0.352941000000000
137,239,14234.000000000000000,Shrub Cover = 39%,199,126,90,0.780392000000000,0.494118000000000,0.352941000000000
138,240,12692.000000000000000,Shrub Cover = 40%,199,123,88,0.780392000000000,0.482353000000000,0.345098000000000
139,241,10695.000000000000000,Shrub Cover = 41%,196,121,86,0.768627000000000,0.474510000000000,0.337255000000000
140,242,9132.000000000000000,Shrub Cover = 42%,196,118,84,0.768627000000000,0.462745000000000,0.329412000000000
141,243,7742.000000000000000,Shrub Cover = 43%,196,118,84,0.768627000000000,0.462745000000000,0.329412000000000
142,244,6442.000000000000000,Shrub Cover = 44%,196,115,82,0.768627000000000,0.450980000000000,0.321569000000000
143,245,6950.000000000000000,Shrub Cover = 45%,196,115,82,0.768627000000000,0.450980000000000,0.321569000000000
144,246,4822.000000000000000,Shrub Cover = 46%,194,110,79,0.760784000000000,0.431373000000000,0.309804000000000
145,247,4515.000000000000000,Shrub Cover = 47%,194,110,79,0.760784000000000,0.431373000000000,0.309804000000000
146,248,4378.000000000000000,Shrub Cover = 48%,194,110,79,0.760784000000000,0.431373000000000,0.309804000000000
147,249,4355.000000000000000,Shrub Cover = 49%,194,107,78,0.760784000000000,0.419608000000000,0.305882000000000
148,250,4166.000000000000000,Shrub Cover = 50%,191,105,77,0.749020000000000,0.411765000000000,0.301961000000000
149,251,3858.000000000000000,Shrub Cover = 51%,191,102,75,0.749020000000000,0.400000000000000,0.294118000000000
150,252,3463.000000000000000,Shrub Cover = 52%,191,102,75,0.749020000000000,0.400000000000000,0.294118000000000
151,253,3309.000000000000000,Shrub Cover = 53%,191,100,73,0.749020000000000,0.392157000000000,0.286275000000000
152,254,2778.000000000000000,Shrub Cover = 54%,189,97,72,0.741176000000000,0.380392000000000,0.282353000000000
153,255,3186.000000000000000,Shrub Cover = 55%,189,96,70,0.741176000000000,0.376471000000000,0.274510000000000
154,256,405.000000000000000,Shrub Cover = 56%,189,94,70,0.741176000000000,0.368627000000000,0.274510000000000
155,257,931.000000000000000,Shrub Cover = 57%,189,94,70,0.741176000000000,0.368627000000000,0.274510000000000
156,258,1354.000000000000000,Shrub Cover = 58%,189,92,68,0.741176000000000,0.360784000000000,0.266667000000000
157,259,25.000000000000000,Shrub Cover = 59%,186,89,67,0.729412000000000,0.349020000000000,0.262745000000000
158,260,79.000000000000000,Shrub Cover = 60%,186,87,65,0.729412000000000,0.341176000000000,0.254902000000000
177,310,4635.000000000000000,Herb Cover = 10%,255,204,102,1.000000000000000,0.800000000000000,0.400000000000000
178,311,18.000000000000000,Herb Cover = 11%,255,204,102,1.000000000000000,0.800000000000000,0.400000000000000
179,312,127.000000000000000,Herb Cover = 12%,255,201,102,1.000000000000000,0.788235000000000,0.400000000000000
180,313,21.000000000000000,Herb Cover = 13%,255,201,102,1.000000000000000,0.788235000000000,0.400000000000000
181,314,27.000000000000000,Herb Cover = 14%,255,201,99,1.000000000000000,0.788235000000000,0.388235000000000
182,315,15.000000000000000,Herb Cover = 15%,255,198,99,1.000000000000000,0.776471000000000,0.388235000000000
183,316,78.000000000000000,Herb Cover = 16%,255,197,97,1.000000000000000,0.772549000000000,0.380392000000000
184,317,60.000000000000000,Herb Cover = 17%,255,197,97,1.000000000000000,0.772549000000000,0.380392000000000
185,318,128.000000000000000,Herb Cover = 18%,255,193,94,1.000000000000000,0.756863000000000,0.368627000000000
186,319,294.000000000000000,Herb Cover = 19%,255,193,94,1.000000000000000,0.756863000000000,0.368627000000000
187,320,163.000000000000000,Herb Cover = 20%,255,192,92,1.000000000000000,0.752941000000000,0.360784000000000
188,321,45.000000000000000,Herb Cover = 21%,255,190,92,1.000000000000000,0.745098000000000,0.360784000000000
189,322,1114.000000000000000,Herb Cover = 22%,255,190,92,1.000000000000000,0.745098000000000,0.360784000000000
190,323,888.000000000000000,Herb Cover = 23%,255,189,89,1.000000000000000,0.741176000000000,0.349020000000000
191,324,697.000000000000000,Herb Cover = 24%,255,186,89,1.000000000000000,0.729412000000000,0.349020000000000
192,325,170.000000000000000,Herb Cover = 25%,255,185,87,1.000000000000000,0.725490000000000,0.341176000000000
193,326,402.000000000000000,Herb Cover = 26%,255,185,87,1.000000000000000,0.725490000000000,0.341176000000000
194,327,384.000000000000000,Herb Cover = 27%,255,181,84,1.000000000000000,0.709804000000000,0.329412000000000
195,328,843.000000000000000,Herb Cover = 28%,255,181,84,1.000000000000000,0.709804000000000,0.329412000000000
196,329,593.000000000000000,Herb Cover = 29%,255,180,82,1.000000000000000,0.705882000000000,0.321569000000000
197,330,1128.000000000000000,Herb Cover = 30%,255,177,82,1.000000000000000,0.694118000000000,0.321569000000000
198,331,464.000000000000000,Herb Cover = 31%,255,176,79,1.000000000000000,0.690196000000000,0.309804000000000
199,332,1359.000000000000000,Herb Cover = 32%,255,176,79,1.000000000000000,0.690196000000000,0.309804000000000
200,333,3662.000000000000000,Herb Cover = 33%,255,173,79,1.000000000000000,0.678431000000000,0.309804000000000
201,334,14538.000000000000000,Herb Cover = 34%,255,172,77,1.000000000000000,0.674510000000000,0.301961000000000
202,335,2797.000000000000000,Herb Cover = 35%,255,172,77,1.000000000000000,0.674510000000000,0.301961000000000
203,336,999.000000000000000,Herb Cover = 36%,255,171,74,1.000000000000000,0.670588000000000,0.290196000000000
204,337,1246.000000000000000,Herb Cover = 37%,255,167,74,1.000000000000000,0.654902000000000,0.290196000000000
205,338,2334.000000000000000,Herb Cover = 38%,255,166,71,1.000000000000000,0.650980000000000,0.278431000000000
206,339,1966.000000000000000,Herb Cover = 39%,255,166,71,1.000000000000000,0.650980000000000,0.278431000000000
207,340,4564.000000000000000,Herb Cover = 40%,255,162,69,1.000000000000000,0.635294000000000,0.270588000000000
